#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	name2	cdsStartStat	cdsEndStat	exonFrames	txId	type	geneName	geneType	sourceGene	sourceTranscript	alignmentId	alternativeSourceTranscripts	Paralogy	UnfilteredParalogy	collapsedGeneIds	collapsedGeneNames	frameshift	exonAnnotationSupport	intronAnnotationSupport	transcriptClass	transcriptModes	validStart	validStop	properOrf	extra_paralog
chr13	6017083	6022169	RNA28S1-1	0	+	6022169	6022169	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010023	rRNA	LOFF_G0010023	rRNA	LOFF_G0010023	rRNA_T24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6056122	6069503	RNA45S1-1	0	+	6069503	6069503	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010024	rRNA	LOFF_G0010024	rRNA	LOFF_G0010024	rRNA_T25	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6059777	6061646	RNA18S1-1	0	+	6061646	6061646	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010025	rRNA	LOFF_G0010025	rRNA	LOFF_G0010025	rRNA_T26	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6062728	6062885	RNA5-8S1-1	0	+	6062885	6062885	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010026	rRNA	LOFF_G0010026	rRNA	LOFF_G0010026	rRNA_T27	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6064053	6069139	RNA28S1-1	0	+	6069139	6069139	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010027	rRNA	LOFF_G0010027	rRNA	LOFF_G0010027	rRNA_T28	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6103092	6116473	RNA45S1-1	0	+	6116473	6116473	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010028	rRNA	LOFF_G0010028	rRNA	LOFF_G0010028	rRNA_T29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6106747	6108616	RNA18S1-1	0	+	6108616	6108616	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010029	rRNA	LOFF_G0010029	rRNA	LOFF_G0010029	rRNA_T30	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6109698	6109855	RNA5-8S1-1	0	+	6109855	6109855	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010030	rRNA	LOFF_G0010030	rRNA	LOFF_G0010030	rRNA_T31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6111023	6116109	RNA28S1-1	0	+	6116109	6116109	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010031	rRNA	LOFF_G0010031	rRNA	LOFF_G0010031	rRNA_T32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6150062	6163443	RNA45S1-1	0	+	6163443	6163443	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010032	rRNA	LOFF_G0010032	rRNA	LOFF_G0010032	rRNA_T33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6153717	6155586	RNA18S1-1	0	+	6155586	6155586	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010033	rRNA	LOFF_G0010033	rRNA	LOFF_G0010033	rRNA_T34	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6156668	6156825	RNA5-8S1-1	0	+	6156825	6156825	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010034	rRNA	LOFF_G0010034	rRNA	LOFF_G0010034	rRNA_T35	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6157993	6163079	RNA28S1-1	0	+	6163079	6163079	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010035	rRNA	LOFF_G0010035	rRNA	LOFF_G0010035	rRNA_T36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6197032	6210413	RNA45S1-1	0	+	6210413	6210413	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010036	rRNA	LOFF_G0010036	rRNA	LOFF_G0010036	rRNA_T37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6200687	6202556	RNA18S1-1	0	+	6202556	6202556	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010037	rRNA	LOFF_G0010037	rRNA	LOFF_G0010037	rRNA_T38	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6203638	6203795	RNA5-8S1-1	0	+	6203795	6203795	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010038	rRNA	LOFF_G0010038	rRNA	LOFF_G0010038	rRNA_T39	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6204963	6210049	RNA28S1-1	0	+	6210049	6210049	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010039	rRNA	LOFF_G0010039	rRNA	LOFF_G0010039	rRNA_T40	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6244002	6257383	RNA45S1-1	0	+	6257383	6257383	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010040	rRNA	LOFF_G0010040	rRNA	LOFF_G0010040	rRNA_T41	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6247657	6249526	RNA18S1-1	0	+	6249526	6249526	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010041	rRNA	LOFF_G0010041	rRNA	LOFF_G0010041	rRNA_T42	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6250608	6250765	RNA5-8S1-1	0	+	6250765	6250765	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010042	rRNA	LOFF_G0010042	rRNA	LOFF_G0010042	rRNA_T43	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6251933	6257019	RNA28S1-1	0	+	6257019	6257019	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010043	rRNA	LOFF_G0010043	rRNA	LOFF_G0010043	rRNA_T44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6290972	6304353	RNA45S1-1	0	+	6304353	6304353	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010044	rRNA	LOFF_G0010044	rRNA	LOFF_G0010044	rRNA_T45	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6294627	6296496	RNA18S1-1	0	+	6296496	6296496	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010045	rRNA	LOFF_G0010045	rRNA	LOFF_G0010045	rRNA_T46	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6297578	6297735	RNA5-8S1-1	0	+	6297735	6297735	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010046	rRNA	LOFF_G0010046	rRNA	LOFF_G0010046	rRNA_T47	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6298903	6303989	RNA28S1-1	0	+	6303989	6303989	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010047	rRNA	LOFF_G0010047	rRNA	LOFF_G0010047	rRNA_T48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6337942	6351323	RNA45S1-1	0	+	6351323	6351323	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010048	rRNA	LOFF_G0010048	rRNA	LOFF_G0010048	rRNA_T49	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6341597	6343466	RNA18S1-1	0	+	6343466	6343466	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010049	rRNA	LOFF_G0010049	rRNA	LOFF_G0010049	rRNA_T50	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6344548	6344705	RNA5-8S1-1	0	+	6344705	6344705	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010050	rRNA	LOFF_G0010050	rRNA	LOFF_G0010050	rRNA_T51	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6345873	6350959	RNA28S1-1	0	+	6350959	6350959	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010051	rRNA	LOFF_G0010051	rRNA	LOFF_G0010051	rRNA_T52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6384912	6398293	RNA45S1-1	0	+	6398293	6398293	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010052	rRNA	LOFF_G0010052	rRNA	LOFF_G0010052	rRNA_T53	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6388567	6390436	RNA18S1-1	0	+	6390436	6390436	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010053	rRNA	LOFF_G0010053	rRNA	LOFF_G0010053	rRNA_T54	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6391518	6391675	RNA5-8S1-1	0	+	6391675	6391675	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010054	rRNA	LOFF_G0010054	rRNA	LOFF_G0010054	rRNA_T55	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6392843	6397929	RNA28S1-1	0	+	6397929	6397929	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010055	rRNA	LOFF_G0010055	rRNA	LOFF_G0010055	rRNA_T56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6431882	6445263	RNA45S1-1	0	+	6445263	6445263	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010056	rRNA	LOFF_G0010056	rRNA	LOFF_G0010056	rRNA_T57	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6435537	6437406	RNA18S1-1	0	+	6437406	6437406	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010057	rRNA	LOFF_G0010057	rRNA	LOFF_G0010057	rRNA_T58	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6438488	6438645	RNA5-8S1-1	0	+	6438645	6438645	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010058	rRNA	LOFF_G0010058	rRNA	LOFF_G0010058	rRNA_T59	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6439813	6444899	RNA28S1-1	0	+	6444899	6444899	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010059	rRNA	LOFF_G0010059	rRNA	LOFF_G0010059	rRNA_T60	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6478852	6492233	RNA45S1-1	0	+	6492233	6492233	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010060	rRNA	LOFF_G0010060	rRNA	LOFF_G0010060	rRNA_T61	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6482507	6484376	RNA18S1-1	0	+	6484376	6484376	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010061	rRNA	LOFF_G0010061	rRNA	LOFF_G0010061	rRNA_T62	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6485458	6485615	RNA5-8S1-1	0	+	6485615	6485615	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010062	rRNA	LOFF_G0010062	rRNA	LOFF_G0010062	rRNA_T63	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6486783	6491869	RNA28S1-1	0	+	6491869	6491869	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010063	rRNA	LOFF_G0010063	rRNA	LOFF_G0010063	rRNA_T64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6525822	6539203	RNA45S1-1	0	+	6539203	6539203	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010064	rRNA	LOFF_G0010064	rRNA	LOFF_G0010064	rRNA_T65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6529477	6531346	RNA18S1-1	0	+	6531346	6531346	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010065	rRNA	LOFF_G0010065	rRNA	LOFF_G0010065	rRNA_T66	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6532428	6532585	RNA5-8S1-1	0	+	6532585	6532585	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010066	rRNA	LOFF_G0010066	rRNA	LOFF_G0010066	rRNA_T67	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6533753	6538839	RNA28S1-1	0	+	6538839	6538839	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010067	rRNA	LOFF_G0010067	rRNA	LOFF_G0010067	rRNA_T68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6572792	6586173	RNA45S1-1	0	+	6586173	6586173	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010068	rRNA	LOFF_G0010068	rRNA	LOFF_G0010068	rRNA_T69	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6576447	6578316	RNA18S1-1	0	+	6578316	6578316	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010069	rRNA	LOFF_G0010069	rRNA	LOFF_G0010069	rRNA_T70	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6579398	6579555	RNA5-8S1-1	0	+	6579555	6579555	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010070	rRNA	LOFF_G0010070	rRNA	LOFF_G0010070	rRNA_T71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6580723	6585809	RNA28S1-1	0	+	6585809	6585809	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010071	rRNA	LOFF_G0010071	rRNA	LOFF_G0010071	rRNA_T72	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6619762	6633143	RNA45S1-1	0	+	6633143	6633143	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010072	rRNA	LOFF_G0010072	rRNA	LOFF_G0010072	rRNA_T73	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6623417	6625286	RNA18S1-1	0	+	6625286	6625286	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010073	rRNA	LOFF_G0010073	rRNA	LOFF_G0010073	rRNA_T74	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6626368	6626525	RNA5-8S1-1	0	+	6626525	6626525	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010074	rRNA	LOFF_G0010074	rRNA	LOFF_G0010074	rRNA_T75	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6627693	6632779	RNA28S1-1	0	+	6632779	6632779	85,212,76	1	5086	0	RNA28S1	none	none	-1	LOFF_T0010075	rRNA	LOFF_G0010075	rRNA	LOFF_G0010075	rRNA_T76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6666732	6680113	RNA45S1-1	0	+	6680113	6680113	85,212,76	1	13381	0	RNA45S1	none	none	-1	LOFF_T0010076	rRNA	LOFF_G0010076	rRNA	LOFF_G0010076	rRNA_T77	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6670387	6672256	RNA18S1-1	0	+	6672256	6672256	85,212,76	1	1869	0	RNA18S1	none	none	-1	LOFF_T0010077	rRNA	LOFF_G0010077	rRNA	LOFF_G0010077	rRNA_T78	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
chr13	6673338	6673495	RNA5-8S1-1	0	+	6673495	6673495	85,212,76	1	157	0	RNA5-8S1	none	none	-1	LOFF_T0010078	rRNA	LOFF_G0010078	rRNA	LOFF_G0010078	rRNA_T79	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ortholog	Liftoff	N/A	N/A	N/A	False
